"env" "LAT" "LON" "SOWING" "HARVEST"
"E0269" 0.61 29.165 "2023-09-20" "2024-02-29"
"E0269" 0.61 29.165 "2023-09-20" "2024-02-02"
"E0269" 0.61 29.165 "2023-09-20" "2024-02-17"
"E0269" 0.61 29.165 "2023-09-20" "2024-03-19"
"E0269" 0.61 29.165 "2023-09-20" "2024-02-13"
"E0269" 0.61 29.165 "2023-09-20" "2023-12-29"
"E0270" 0.16 29.316 "2023-09-30" "2023-12-27"
"E0270" 0.16 29.316 "2023-09-30" "2024-01-05"
"E0270" 0.16 29.316 "2023-09-30" "2024-02-22"
"E0270" 0.16 29.316 "2023-09-30" "2024-02-05"
"E0270" 0.16 29.316 "2023-09-30" "2024-02-15"
"E0270" 0.16 29.316 "2023-09-30" "2024-02-07"
"E0271" -16.106 34.84 "2024-01-13" "2024-05-03"
"E0271" -16.106 34.84 "2024-01-13" "2024-05-09"
"E0271" -16.106 34.84 "2024-01-13" "2024-06-11"
"E0271" -16.106 34.84 "2024-01-13" "2024-05-20"
"E0271" -16.106 34.84 "2024-01-13" "2024-05-06"
"E0271" -16.106 34.84 "2024-01-13" "2024-05-15"
"E0271" -16.106 34.84 "2024-01-13" "2024-05-16"
"E0272" -13.631 32.544 "2024-01-02" "2024-05-01"
"E0273" -16.254 34.895 "2024-03-31" "2024-07-19"
"E0273" -16.254 34.895 "2024-03-31" "2024-03-31"
"E0273" -16.254 34.895 "2024-03-31" "2024-08-28"
"E0274" -12.952 33.703 "2023-12-28" "2024-04-24"
"E0274" -12.952 33.703 "2023-12-28" "2024-04-17"
"E0274" -12.952 33.703 "2023-12-28" "2024-05-01"
"E0275" -13.628 34.394 "2024-02-13" "2024-06-01"
"E0276" -13.41 33.612 "2023-12-27" "2024-04-13"
"E0276" -13.41 33.612 "2023-12-27" "2024-04-20"
"E0276" -13.41 33.612 "2023-12-27" "2024-04-22"
"E0276" -13.41 33.612 "2023-12-28" "2024-05-26"
"E0276" -13.41 33.612 "2023-12-27" "2024-04-29"
"E0276" -13.41 33.612 "2023-12-27" "2024-04-27"
"E0277" 3.161 43.616 "2023-12-16" "2024-03-29"
"E0277" 3.161 43.616 "2023-12-16" "2024-03-14"
"E0277" 3.161 43.616 "2023-12-16" "2024-04-03"
"E0277" 3.161 43.616 "2023-12-16" "2024-04-06"
"E0277" 3.161 43.616 "2023-12-16" "2024-04-08"
"E0277" 3.161 43.616 "2023-12-16" "2024-03-25"
"E0277" 3.161 43.616 "2023-12-16" "2024-03-11"
"E0277" 3.161 43.616 "2023-12-16" "2024-03-18"
"E0278" -15.333 28.391 "2023-12-02" "2024-04-18"
"E0278" -15.333 28.391 "2023-12-02" "2024-04-13"
"E0278" -15.333 28.391 "2023-12-02" "2024-05-03"
"E0278" -15.333 28.391 "2023-12-02" "2024-04-25"
"E0278" -15.333 28.391 "2023-12-02" "2024-05-25"
"E0278" -15.333 28.391 "2023-12-02" "2024-04-19"
"E0278" -15.333 28.391 "2023-12-02" "2024-04-16"
"E0278" -15.333 28.391 "2023-12-02" "2024-04-20"
"E0279" -13.879 29.106 "2023-12-22" "2024-04-30"
"E0279" -13.879 29.106 "2023-12-22" "2024-03-05"
"E0279" -13.879 29.106 "2023-12-22" "2024-04-25"
"E0279" -13.879 29.106 "2023-12-22" "2024-04-05"
"E0279" -13.879 29.106 "2023-12-22" "2024-04-04"
"E0280" -15.301 28.306 "2023-12-08" "2024-04-08"
"E0280" -15.301 28.306 "2023-12-08" "2024-04-09"
"E0280" -15.301 28.306 "2023-12-08" "2024-04-24"
"E0280" -15.301 28.306 "2023-12-08" "2024-04-14"
"E0280" -15.301 28.306 "2023-12-08" "2024-05-14"
"E0281" -15.409 28.081 "2023-12-18" "2024-05-17"
"E0282" -13.547 28.06 "2023-12-24" "2024-05-06"
"E0282" -13.547 28.06 "2023-12-24" "2024-04-12"
"E0283" -15.34 28.52 "2023-12-18" "2024-04-26"
"E0283" -15.34 28.52 "2023-12-18" "2024-04-22"
"E0283" -15.34 28.52 "2023-12-18" "2024-05-13"
"E0283" -15.34 28.52 "2023-12-18" "2024-05-02"
"E0283" -15.34 28.52 "2023-12-18" "2024-04-30"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-07"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-10"
"E0284" -15.29 28.299 "2023-12-20" "2024-04-28"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-28"
"E0284" -15.29 28.299 "2023-12-20" "2024-04-24"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-24"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-08"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-14"
"E0284" -15.29 28.299 "2023-12-20" "2024-04-30"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-02"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-30"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-03"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-12"
"E0284" -15.29 28.299 "2023-12-20" "2024-06-03"
"E0284" -15.29 28.299 "2023-12-20" "2024-06-10"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-04"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-05"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-25"
"E0284" -15.29 28.299 "2023-12-20" "2024-04-05"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-20"
"E0284" -15.29 28.299 "2023-12-20" "2024-04-03"
"E0284" -15.29 28.299 "2023-12-20" "2024-04-20"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-09"
"E0284" -15.29 28.299 "2023-12-20" "2024-05-31"
"E0284" -15.29 28.299 "2023-12-20" "2024-04-23"
"E0284" -15.29 28.299 "2023-12-20" "2024-04-25"
"E0285" -12.423 26.217 "2023-12-31" "2024-05-05"
"E0285" -12.423 26.217 "2023-12-31" "2024-04-29"
"E0285" -12.423 26.217 "2023-12-31" "2024-05-12"
"E0286" -18.083 31.256 "2023-12-15" "2024-05-13"
"E0287" -17.662 31.236 "2023-12-13" "2024-05-11"
"E0288" -17.687 30.966 "2024-01-10" "2024-06-10"
"E0288" -17.687 30.966 "2024-01-10" "2024-06-07"
"E0288" -17.687 30.966 "2024-01-10" "2024-07-10"
"E0288" -17.687 30.966 "2024-01-10" "2024-06-19"
"E0289" -16.146 34.874 "2024-07-24" "2024-12-11"
"E0289" -16.146 34.874 "2024-07-24" "2024-12-09"
"E0289" -16.146 34.874 "2024-07-24" "2024-12-10"
"E0289" -16.146 34.874 "2024-07-24" "2024-12-04"
"E0290" -13.407 33.62 "2024-07-15" "2024-12-12"
"E0290" -13.407 33.62 "2024-07-15" "2024-11-22"
"E0290" -13.407 33.62 "2024-07-15" "2024-12-02"
"E0290" -13.407 33.62 "2024-07-15" "2024-12-10"
"E0290" -13.407 33.62 "2024-07-15" "2024-12-19"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-07"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-11"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-02"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-20"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-21"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-05"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-08"
"E0291" 12.571 -16.25 "2024-07-30" "2024-10-29"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-04"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-15"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-03"
"E0291" 12.571 -16.25 "2024-07-30" "2024-10-31"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-09"
"E0291" 12.571 -16.25 "2024-07-30" "2024-11-18"
"E0292" -12.947 33.688 "2025-01-03" "2025-05-07"
"E0292" -12.947 33.688 "2025-01-03" "2025-05-06"
